transformed_input_for_generation,target
"Speaker PENNY: I don't suppose you also brought napkins, clean bowls, utensils and a roll of toilet paper. 
Speaker BERNADETTE: Right here. 
Speaker PENNY: You guys are the best. 
Speaker AMY: What's with the clothes? 
Speaker PENNY: Well, with all the new stuff I bought for work, I needed to make room in my closet. 
Speaker AMY: I meant why are they folded? 
But whatever. 
Speaker AMY: Ooh, what's this? 
Speaker PENNY: That, believe it or not, is my prom dress. 
Speaker BERNADETTE: ","Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere."
"Speaker AMY: we decided that the time was right to take a step forward. 
Speaker LEONARD: Okay. 
Speaker SHELDON: Do you want to say it? 
Speaker AMY: Let's say it together. 
Speaker SHELDON: We're getting a turtle! 
Speaker PENNY: ",This is why I've been saying we should keep champagne on ice.
"Speaker PENNY: Hey Sheldon. 
Speaker SHELDON: Hello Penny. 
Speaker PENNY: Get anything good? 
Speaker SHELDON: ",Just the latest copy of Applied Particle Physics quarterly.
"Speaker LEONARD: I swear, that man is the most egotistical, insufferable human being I have ever met. 
Speaker PENNY: Yeah, but you two make such a cute couple. 
Speaker PENNY: ",Like Burt and Ernie. You guys even teach me stuff about words and numbers.
"Speaker PERSON: I've been talking to you for five minutes now about killing myself and no one's even looked up from their desk. Hang-hang on. Hey everybody! 
Speaker PERSON: ","Uh, I'm gonna kill myself!"
"Speaker HOWARD: he used to... take me to the comic book store. 
Speaker HOWARD: It was one of the few things we did together. 
Speaker BERNADETTE: Oh. Howie, I had no idea. 
Speaker HOWARD: Well, I don't... like to talk about it. 
Speaker BERNADETTE: Oh, baby. 
That story's made up, isn't it? 
Speaker HOWARD: ",That's how much buying a comic book store means to me.
"Speaker HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? 
Speaker PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. 
Speaker HOWARD: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons. 
Speaker SHELDON: ",I gargled with tequila and may have swallowed a teeny bit.
"Speaker ROSS: That only is not funny, it's physically impossible! Okay? Depending    on the species I'd have to have a six foot long... 
Speaker ROSS: ",It's not funny!
"Speaker RAJ: I've missed you. 
Speaker SHELDON: All right, say hello to your mother for me. 
Speaker HOWARD: Okay. 
Speaker SHELDON: What? 
Speaker HOWARD: You said you were going for a walk. 
Speaker SHELDON: I didn't say outside. 
Speaker HOWARD: ","So what, you're just gonna walk up and down the stairs?"
"Speaker PERSON: I don't want to rush you, but I'm closing a little early tonight. 
Speaker RAJ: Ooh. Hot date? 
Speaker PERSON: ","Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice."
"Speaker PHOEBE: So you like the drums! That's, that's great! Y'know, I was worried, that, you know, they would maybe an unbearable living situation. 
Speaker PHOEBE: ","All right, okay, well, apparently not!"
"Speaker PERSON: Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me. 
Speaker ROSS: All right that's, that's it!! Get off her! 
Speaker PERSON: What is going on? 
Speaker ROSS: ",What's going on?!  That's what's going on!!
"Speaker DOROTHY: You what the joke going around teacher's lounge was today Ma? Me 
Speaker SOPHIA: I know this joke 
Speaker DOROTHY: Everybody heard on the radio that some anonymous Ma was complaining that her dependent daughter Dorothy doesn't have a life of her own. 
Speaker SOPHIA: What you think of the only grey head substitute teacher named Dorothy wasting her life away in Miami? 
Speaker ROSE: ","I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her."
"Speaker AMY: but since you seem to be okay with the article being canceled, I have a little confession.
I'm the reason it was pulled. 
Speaker BERNADETTE: What? How? 
Speaker AMY: I sent the editors of the magazine a pretty scathing e-mail. 
Speaker BERNADETTE: Amy, what did you say? 
Speaker AMY: I simply pointed out that they would never consider doing an article ranking male scientists on their sexuality, let alone showing them in various stages of undress. 
Speaker BERNADETTE: ","Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche."
"Speaker JOEY: Hey, I wasn't the only one who looked like an idiot. All right? Remember when Ross tried to say, ""Butternut squash?"" 
Speaker JOEY: ","And it came out, ""Squatternut buash?"""
"Speaker PERSON: So you have replaced me. 
Speaker ROSE: With what? 
Speaker DOROTHY: ",A hand puppet Rose.
"Speaker CHANDLER: Saucy. 
Speaker PERSON: I'll be back in two minutes. 
Speaker CHANDLER: You are going to leave me like this 
Speaker PERSON: Knowing you are here, waiting for me, it is kind of exciting isn't it? 
Speaker CHANDLER: ","Okay, but if you are not coming back soon, there is pretty much nothing I can do about it"
"Speaker LEONARD: It's 2:00 a.m. What are you doing up? 
Speaker SHELDON: Nobel Prize acceptance ceremony streaming live from Stockholm. 
Speaker LEONARD: ",Sure. You want to see what all the scientists are wearing this year.
"Speaker PERSON: It was dreadful. I felt terrible about how I acted when you said those wonderful things. 
Speaker ROSS: No, no, that-that, that's all right. Umm, I'm just glad you called. 
Speaker PERSON: ","Ross umm, there's something that I've got to tell you, there's-there's someone else."
"Speaker MONICA: You owe me 20 bucks. 
Speaker RACHEL: Thank you. Thank you so much! 
Speaker MONICA: Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns. 
Speaker RACHEL: ","Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner?"
"Speaker SHELDON: Am I correct in assuming that your attempt to be accepted by Penny's peers is based on your desire to ensure your continuing mating privileges with her? 
Speaker LEONARD: Well, I wouldn't put it exactly that way. 
Speaker SHELDON: How would you put it? 
Speaker LEONARD: Yeah, okay, like you said. 
Speaker SHELDON: ",Seems like an awful lot of trouble to go through for intercourse.
"Speaker SHELDON: Of course not. I'm a theoretical physicist.
A career I chose in no small part because it's indoors, but if I'm able to detect slow-moving magnetic monopoles there, I will be the scientis to confirm string theory. 
Speaker SHELDON: People will write books about me. 
Speaker SHELDON: Third-graders will create macaroni-art dioramas depicting scenes from my life. 
Speaker LEONARD: ","Sure, maybe a tableau of me trying to pummel you to death."
"Speaker HOWARD: Unlike you, I can actually talk to women when I'm sober. 
Speaker RAJ: You fail to take into account that even mute, I am foreign and exotic, while you, on the other hand, are frail and pasty. 
Speaker HOWARD: You know the old saying, ""Pasty and frail never fail."" 
Speaker LEONARD: ","Excuse me, but what about me? Why don't I get a shot?"
"Speaker PHOEBE: And there's five hundred extra dollars in my account. 
Speaker CHANDLER: ",Oh! Satan's minions at work again?
"Speaker MONICA: I am sorry I think I can walk the rest of the way now just give me my boots. 
Speaker CHANDLER: I don't have your boots 
Speaker MONICA: Well I don't have them either, where are they? 
Speaker CHANDLER: ",Well why don't you check in one of my saddle bags while I chew on a bale of hay.
"Speaker BERNADETTE: So, I put stickers on everything we're gonna sell.
We just need help taking it all out to the driveway. 
Speaker AMY: Can I be in charge of pricing?
I've been going to garage sales my whole life. 
Speaker AMY: Can you believe I got these pantyhose for a nickel? 
Speaker HOWARD: ","All right, Amy's in charge of pricing and being 75."
"Speaker LEONARD: The surf and turf sounds good.
See if they corn on the cob. 
Speaker BERNADETTE: Guys!
We're trying to get him out of here, not you in. 
Speaker RAJ: You're wasting your time.
Just please, leave me alone. 
Speaker HOWARD: Now what? 
Speaker LEONARD: I don't know. 
Speaker BERNADETTE: ",We could go to Red Lobster and talk about it. We're all thinking it. I just had the decency to wait for him to leave.
"Speaker SHELDON: Okay, all right. 
Speaker SHELDON: That one was clever. 
Speaker SHELDON: Skeleton with phosphorous on a zip line. 
Speaker SHELDON: Come on out, merry pranksters. 
Speaker SHELDON: Take a bow. 
Speaker RAJ: You should've seen your face. 
Speaker SHELDON: ","Yes, there's nothing quite like the slightly widened eyes of mildly startled."
"Speaker ROSS: It's from France .. In Europe .. Western Europe. Y'know umm, a few years ago I actually was backpacking across Western Europe. 
Speaker PERSON: Really? 
Speaker ROSS: Uh-hmm,Wait! It gets better. Um, yeah I was in Barcelona. 
Speaker PERSON: ",I studied for a year in Barcelona.
"Speaker RACHEL: You can't go away this weekend, its Emma's birthday, we are having a party. 
Speaker MONICA: Well can't you just have the party when we get back? 
Speaker RACHEL: No, it won't be her real birthday. 
Speaker CHANDLER: ","Gee, if only she were one and had no idea what a birthday was."
"Speaker SHELDON: And a living will and durable power of attorney. 
Speaker RAJ: This says you can make ""end of life"" decisions for me. 
Speaker SHELDON: As your friend, let's hope it doesn't come to that. 
Please sign. 
Speaker RAJ: Did you sign this? 
Speaker LEONARD: There's a reciprocity clause.
You get to pull the plug on him, too. 
Speaker RAJ: Well, that seems fair. 
Speaker SHELDON: ","Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear."
"Speaker CHANDLER: Hi, excuse me, is Rachel Green here? I'm supposed to meet her for lunch. 
Speaker PERSON: Oh she doesn't come here anymore. You can find her up on 10th. 
Speaker CHANDLER: Okay great. 
Speaker CHANDLER: ",I'll catch you guys later.
"Speaker PENNY: What time is it? 
Speaker LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you. 
Speaker LEONARD: ",What did you mean when you said you were going to miss me?
"Speaker JOEY: Okay done 
Speaker MONICA: Whats pleh? 
Speaker JOEY: ThatÕs Help spelled backwards so that helicopters can read it from the air. 
Speaker MONICA: ",Huh! Whats dufus speled backwards?
"Speaker ROSS: Yeah. Listen about that, the whole uh, who came on to who thing really doesn't matter. I mean, I think it would've happened either way. 
Speaker ROSS: ",I mean if you hadn't initiated it I-I-I know I would've.
"Speaker PENNY: Hey, how are things going with your parents? 
Speaker RAJ: Not great. They hired divorce attorneys. 
Speaker SHELDON: You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk. 
Speaker PENNY: ","You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon."""
"Speaker CHANDLER: Anybody know a good tailor? 
Speaker JOEY: You needs some clothes altered? 
Speaker CHANDLER: ","No, no, I am just looking for a man to draw on me with chalk."
"Speaker HOWARD: to rebrand the stuff as a cure for constipation. 
Speaker RAJ: Way to make lemonade.
You know, from around the corner where fudge is made. 
Speaker HOWARD: Hey, I got a favor to ask. 
Speaker RAJ: Sure. 
Speaker HOWARD: My mom's been kind of an emotional wreck since that dentist she was dating dumped her. 
Speaker RAJ: ","Dumped her? What, did he use a forklift?"
"Speaker CHANDLER: Okay you are right, I am in love with Joey's girlfriend. 
Speaker PHOEBE: What? How is that possible? You barely know her. 
Speaker CHANDLER: I don't know. I can't . I just, I can't get her out of my head you know. I am a very bad person. I am a horrible person. 
Speaker CHANDLER: ","No you are not Chandler, we still love you Chandler"
"Speaker BLANCHE: Oh Dorothy would please open this jar of nuts for me? 
Speaker DOROTHY: You couldn't get it open? 
Speaker BLANCHE: Oh I didn't try. I don't wanna risk cracking a nail. 
Speaker DOROTHY: ",What are these? Claws?
"Speaker JOEY: I didn't know he could get me fired! What am I going to do? 
Speaker MONICA: Well y'know Joey, you're a pretty charming guy. 
Speaker JOEY: ","Thanks, but I kinda have a problem to deal with here."
"Speaker DOROTHY: We clinked at the glasses, Stan gave me a toy smile and I winked at him 
Speaker DOROTHY: And then I gulped down the champaigne in one go 
Speaker DOROTHY: And it didn't go sdown smoothly 
Speaker DOROTHY: Later Stan told me that he put my engagement ring in the bottom of the glass 
Speaker DOROTHY: It turned up three days later. 
Speaker ROSE: Where did it turn up Dorothy? 
Speaker DOROTHY: ",On the home shopping network
"Speaker LEONARD: Here we go. Pad thai, no peanuts. 
Speaker HOWARD: But does it have peanut oil? 
Speaker LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up. 
Speaker SHELDON: ","Since it's not bee season, you can have my epinephrine."
"Speaker PENNY: Come on. I think it's nice that Captain Sweatpants showed up to your art opening. 
Speaker PERSON: Yeah, it would have been nicer if he hadn't touched all the cheese. 
Speaker PENNY: You know, it's kind of early.
Do you want to maybe come in for some coffee? 
Speaker PERSON: Gee, it's a little late for coffee, isn't it? 
Speaker PENNY: ","You think ""coffee,"" means coffee. That is so sweet."
"Speaker PENNY: Now I'm going out tonight. Would it be crazy to ask you to look at the outfit I'm going to wear? 
Speaker PERSON: Oh, not crazy at all.
And don't beat yourself up. 
Speaker PERSON: When I was your age, you could have me for a car ride and a bottle of strawberry wine. 
Speaker SHELDON: That will not be in this week's e-mail blast. 
Speaker HOWARD: ","So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens."
"Speaker PHOEBE: Nobody respects the bucket! You wouldn't believe what people put in here! Look! 
Speaker PHOEBE: ","Okay, does this look like a garbage can to you?"
"Speaker JOEY: Where the hell have you been? 
Speaker CHANDLER: ",I was making a coconut phone with a professor.
"Speaker RACHEL: What if you could keep the apartment and get the tickets. 
Speaker JOEY: Done 
Speaker RACHEL: Let me finish, talking about a bet, winner takes all 
Speaker JOEY: We could end up with nothing. 
Speaker PHOEBE: Or you could end up with everything 
Speaker JOEY: I like that! 
Speaker MONICA: So what do you say? 
Speaker CHANDLER: No 
Speaker MONICA: Just do it! 
Speaker CHANDLER: ","Oh Oh, I am convinced!"
"Speaker SHELDON: I don't think there's anything in this jewelry store that Amy would appreciate more than the humidifier we were just looking at at Sears. 
Speaker PENNY: Oh, my God, now I know what I sound like to you when I say stupid stuff. 
Speaker SHELDON: Ooh, a pocket watch. 
Speaker PENNY: Okay, I don't think Amy wants a pocket watch. 
Speaker SHELDON: ","No, but maybe she wants a man with a pocket watch."
"Speaker LEONARD: Because it's not a costume, it's a flight suit. 
Speaker PENNY: Ok, alright, moving on. 
Speaker PENNY: Oh, wow. A paisley shirt. 
Speaker LEONARD: It goes with my corduroy suit. 
Speaker PENNY: If you mean it should end up in the same place, then I agree. 
Speaker PENNY: Is this your only tie? 
Speaker LEONARD: ","Technically, yes. But, if you'll notice... It's reversible!"
"Speaker ROSS: Y'know what I think it is? I think you've made such a nice home for her over the last nine months that she just doesn't want to leave. 
Speaker RACHEL: Oh. Look at you making up crap for me. Oh God! 
Speaker PERSON: ","Twenty-one hours, you're a hero."
"Speaker JOEY: It's the big night! We wanted to wish you good luck! 
Speaker ROSS: Yeah, yeah you have the ring? 
Speaker CHANDLER: Yeah, right here in my pocket. Pheebs? 
Speaker PHOEBE: ",Oh! Oop!
"Speaker SCOTT: [nodding] - Was that sarcasm? 
Speaker MODERATOR: ",Noo..
"Speaker JOEY: Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again. And-and I promise, I won't touch a guitar until you say I'm ready. You really think I'm ready? 
Speaker PHOEBE: ",Uh-huh!
"Speaker RACHEL: So. I just thought the two of us should hang out for a bit. I mean, you know, we've never really talked. 
Speaker RACHEL: ","I guess you'd know that, being one of the two of us, though, right?"
"Speaker SHELDON: This is Dr. Sheldon Cooper. 
Speaker SHELDON: Yeah, I need to cancel my membership to the planetarium. 
Speaker SHELDON: ","Well, I'm sorry, too, but there's just no room for you in my wallet."
"Speaker PERSON: Someone in there? 
Speaker CHANDLER: ","No, this is just part of a daredevil game that I play called wait until last moment before I burst and die"
"Speaker JOEY: Hey! Hey! What are you guys doing up? 
Speaker CHANDLER: Oh, we wanted to finish the crossword before we went to bed. 
Speaker CHANDLER: ","Hey, do you know a six-letter word for red?"
"Speaker PENNY: Yeah, I'm saying, it'd be easier to lift a car. 
Speaker HOWARD: What can I tell you? After I found the courage to put her pants back on, I was unstoppable. 
Speaker LEONARD: So, how is she? 
Speaker HOWARD: They're running tests-- I don't know. 
Speaker HOWARD: It may have been a heart attack or heart-attack-like event. 
Speaker PENNY: What's the difference? 
Speaker SHELDON: A heart-attack-like event 
Speaker SHELDON: ",is an event that's like a heart attack.
"Speaker ROSS: Who? 
Speaker CHANDLER: Dee, the sarcastic sister from What's Happening!! 
Speaker RACHEL: Guys, guess what guess what guess what. 
Speaker CHANDLER: ","Uh, okay. The fifth dentist caved and not they're all recommending Trident?"
"Speaker MONICA: Can you give me a closer look so that I can see the price? 
Speaker CHANDLER: ",I can see it from right here. It'll cost you one husband.
"Speaker ROSS: I can't believe you'd rather go out with him than me. 
Speaker RACHEL: Would you excuse me, please? I'm trying to have a date here. 
Speaker ROSS: Fine, just stop thinking about me. 
Speaker ROSS: ","Can't do it, can you?"
"Speaker JOEY: Wow! This girl is good. 
Speaker PHOEBE: Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before. 
Speaker CHANDLER: I like her. 
Speaker PHOEBE: ",Why? Because she can sing and play guitar and do both at the same time?
"Speaker ROSS: Okay, I can't imagine, I can't imagine my life without you. Without, without these arms, and your face, and this heart. Your good heart Rach, and, and.... 
Speaker RACHEL: ",No.
"Speaker SHELDON: It was a compromise. I lost. 
Speaker RAJ: Can you believe Stuart's walking around taking credit for this party? 
Speaker HOWARD: Who cares? 
Speaker RAJ: What do you mean ""who cares""? Look at what I pulled off here.
The deejay's on fire, there's a Tardis photo booth in the back room, and, oh, my God, the food! 
Speaker RAJ: Stuart wanted Kraft Draculoni and cheese. 
Speaker HOWARD: ","You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!"
"Speaker ROSS: So theoretically we could download our thoughts and our memories into this computer... ... 
Speaker PERSON: and live forever as a machine! 
Speaker ROSS: That's so Janine, you-you-you know what, do you know we're doing right now? 
Speaker ROSS: ","You and I, we're interfacing."
"Speaker PHOEBE: Yes. Great, let's begin.  How's the pressure? 
Speaker MONICA: Nice! Wow Phoebe you are good! 
Speaker PHOEBE: ","Stating the obvious, but thank you. And it's not weird is it."
"Speaker AMY: It's like a waterfall of liquid gold. 
Speaker AMY: My turn. 
Speaker PENNY: You know, I don't even know what the point of me staying in L.A. is. 
Speaker PENNY: I haven't gotten a single acting job since I moved out here. 
Speaker PENNY: The closest I came was last month, I got a callback for a hemorrhoid commercial. 
Speaker AMY: ","Oh, I could so see you being the face of hemorrhoids."
"Speaker SHELDON: Or pick out his career for him without knowing his aptitude. Or pick out a new breakfast cereal without knowing his fiber requirements. 
Speaker SHELDON: Or his feelings about little marshmallows. 
Speaker PENNY: Spider-Man. Get him Spider-Man. 
Speaker SHELDON: Amazing Spider-Man, Ultimate Spider-Man, Spectacular Spider-Man, The Marvelous Adventures of Spider-Man, Spider-Man 2099? 
Speaker PENNY: You know this can go on all night. 
Speaker LEONARD: ",You know this can go on all night. Why don't you just come with us?
"Speaker BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? 
Speaker HOWARD: For your information, I just bought the last one I needed on eBay. 
Speaker BERNADETTE: Without asking me? 
Speaker HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. 
Speaker BERNADETTE: How much, Howie? 
Speaker HOWARD: Not a lot. 
Speaker BERNADETTE: How much? 
Speaker HOWARD: ",Let's not talk about this in front of our friends.
"Speaker SHELDON: You know, there-there's always WonderCon in Anaheim, you know? 
Speaker SHELDON: That-That's just as good. 
Speaker SHELDON: Excuse me. 
Speaker PENNY: Oh, guys, this is really sad. 
Speaker PENNY: And in a different way than it was 20 minutes ago. 
Speaker SHELDON: ",I can't believe we wasted all that time on our Hulk costumes.
"Speaker PENNY: What exactly do you think goes on here? 
Speaker SHELDON: Well...
conversations that you wouldn't be comfortable having in front of the opposite sex. 
Speaker SHELDON: You know, who has the best cervix. 
Speaker SHELDON: Which sanitary napkin is all the rage right now. 
Speaker SHELDON: Men's buttocks, and how you want to pat and squeeze them. 
Speaker BERNADETTE: We were talking about Penny's job. 
Speaker SHELDON: ","And how difficult it is to do when she's bloated, cranky and crampy?"
"Speaker PHOEBE: Rachel is one of my closest friends. Although, being the only one who knows anything about this does makes me feel special. Okay! 
Speaker RACHEL: Okay, stop-stop! Phoebe?! 
Speaker PHOEBE: Hey Rach! 
Speaker RACHEL: ",What was that?!
"Speaker BERNADETTE: What's going on in here? 
Speaker HOWARD: I am making molecular cocktails. This sphere is actually a cosmopolitan. 
Speaker BERNADETTE: How do you drink it? 
Speaker HOWARD: ","Oh, just put it in your mouth and pop it like a zit."
"Speaker SHELDON: Wow. I don't know which hurts worse-- my nose or my heart. 
Speaker SHELDON: Well, I'm done speaking to you. 
Speaker AMY: Don't be like that. You two need to talk this out. 
Speaker PENNY: Yeah, 'cause you sound really funny. 
Speaker LEONARD: Sheldon, I'm sorry I didn't tell you about the surgery, but you were worried about nothing. 
Speaker SHELDON: ","Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose."
"Speaker RACHEL: Where's Chandler? 
Speaker PHOEBE: Oh, he needed some time to grieve. 
Speaker CHANDLER: I'm free! I'm free! 
Speaker PHOEBE: ",That oughta do it.
"Speaker RAJ: Three, sadly, are dead. 
Speaker SHELDON: Mom, you remember Rajesh? 
Speaker SHELDON: Rajesh, my mother. Of course. 
Speaker RAJ: Mrs. Cooper. So nice to see you again. 
Speaker PERSON: Well, it's so nice to see you, too. 
Speaker PERSON: I thought it was our Indians that had the occasional alcohol problem. 
Speaker LEONARD: ","We don't say that, either. I'll make you a list. Oh, that would be mighty white of you."
"Speaker PHOEBE: How do you feel? 
Speaker CHANDLER: Well, let's just say that Krog will be fully equipped to destroy the universe again in twelve to fourteen hours. 
Speaker PHOEBE: Okay, so I 
Speaker CHANDLER: ",And protected them from a tornado?
"Speaker LEONARD: Let me ask you something. 
Speaker LEONARD: Do you think it's okay for Penny to have an ex-boyfriend sleep on her couch? 
Speaker HOWARD: No, I mean, she's obviously way out of line. 
Speaker LEONARD: Thank you! 
Speaker HOWARD: ","But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one."
"Speaker CHANDLER: Honey, you remember my boss Doug right? 
Speaker MONICA: Yes, hi. 
Speaker PERSON: Hi. So good news, the divorce is final. I signed the papers this A.M. 
Speaker CHANDLER: ","I didn't know you and Carol were getting divorced, I'm sorry."
"Speaker ROSS: After the party I saw Rachel kissing that jerk from her office out on your balcony. 
Speaker CHANDLER: ","Our balcony? Seriously? That's so funny because I told Monica we should put lights on our balcony. - And she said - ""No no, its too cold, nobody will go out there.""  - I said ""Maybe if we put some lights out there they will""."
"Speaker PERSON: Because I met somebody who would be perfect for you. 
Speaker CHANDLER: ",Ah you see perfect might be a problem. Had you said co-dependent or self-destructive.
"Speaker PENNY: Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. 
Speaker RAJ: It was, and I may have made it seem like a bigger deal than I should have. 
Speaker PENNY: Yeah, and Leonard and I are engaged now, and I'm just hoping we can put this whole thing behind us. 
Speaker PERSON: Mm. I'd like that, too. 
Speaker PERSON: Yeah, I thought I'd be okay with it, but then I saw how pretty you are. 
Speaker PENNY: Oh, that's so sweet.
I mean, look at you-- you are gorgeous. 
Speaker RAJ: ",It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.
"Speaker PHOEBE: Was it my work? Were they mad? Was it Jack? Did he yell?! 
Speaker ROSS: J-j-just relax, nobody yelled. Jack just was calling to make sure that you were feeling better. 
Speaker PHOEBE: Thank God. 
Speaker ROSS: ","Yeah, she's fired."
"Speaker MONICA: No. 
Speaker CHANDLER: How long have we been home? 
Speaker MONICA: About a half an hour. 
Speaker CHANDLER: ",Lovely
"Speaker PERSON2: Your mom called me. So is this her? 
Speaker PERSON1: No, this is a loaner. 
Speaker PERSON2: I'm sorry you had to do this by yourself. 
Speaker PERSON1: ","I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?"
"Speaker CHANDLER: How many times have I told you guys, you 
Speaker MONICA: Hi Chandler. 
Speaker CHANDLER: Hey! 
Speaker MONICA: ","Uh, listen, I need that broiling pan that Joey borrowed the other day."
"Speaker CHANDLER: I will have one. Okay, I'm not gonna have one. 
Speaker PHOEBE: No, no, it's just my tooth. 
Speaker CHANDLER: ",All right I'll have one.
"Speaker PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him. 
Speaker PERSON: You're in? 
Speaker LEONARD: Yeah, sure, why not? 
Speaker PERSON: Great, we rehearse on Tuesdays at your place. 
Speaker LEONARD: Why at my place? 
Speaker PERSON: Department of Energy said our regular space is kind of a hot zone. 
Speaker PERSON: Nice meeting you. 
Speaker PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello. 
Speaker LEONARD: ","Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough."
"Speaker HOWARD: It's smashed beyond repair. What are you gonna do with it? 
Speaker RAJ: What else? Sell it on eBay as ""slightly used."" 
Speaker LEONARD: It was Penny's boyfriend's, they broke up. 
Speaker HOWARD: Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere. 
Speaker LEONARD: I'm gonna go back and try talking to her again. 
Speaker HOWARD: ","Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel."
"Speaker SHELDON: And I'm super smart, so it's probably true. 
Speaker AMY: Hey, I've been training in the field of neurobiology for 12 years. 
Speaker AMY: You've been here for three hours, and you've spent one of them in the bathroom. 
Speaker SHELDON: I'm sorry! It takes me a while to get things going on an unfamiliar toilet. 
Speaker AMY: Sheldon, I've given you the simplest things to do, and you haven't done one of them right. 
Speaker SHELDON: ",Maybe that's because I'm not being challenged. It's the same reason Einstein failed math.
"Speaker HOWARD: So my friend Leonard is gonna take you home. 
Speaker PERSON: Okay. Let's go, friend Leonard. 
Speaker HOWARD: I'll call ya. 
Speaker PERSON: So are you a scientist like Howard? 
Speaker LEONARD: No one's a scientist like Howard. 
Speaker HOWARD: My mother is so gonna love her. 
Speaker SHELDON: ",How nice. Maybe they can carpool when they visit you in federal prison.
"Speaker ROSS: Oh. 
Speaker PHOEBE: Please, right now, no, every time I see him it's like  'Is it on the lose?'  'Is it watching me?' 
Speaker CHANDLER: We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff. 
Speaker ROSS: ","He's right, even if it's to say something complementary."
"Speaker JOEY: Helo! Anybody in there order a celebrity? 
Speaker PERSON: What was that? 
Speaker CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! 
Speaker PERSON: Is he alright out there by himself? 
Speaker CHANDLER: ","Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!"
"Speaker PHOEBE: Chandler? 
Speaker CHANDLER: Hey! Ah! 
Speaker MONICA: What do you think? 
Speaker CHANDLER: I think I can see your scalp! 
Speaker CHANDLER: ",What do you know? Its a treat for the eyes and the ears.
"Speaker PHOEBE: Okay, I can do that! Oh, by the way, 
Speaker PERSON: I Why don't we do a trial run. 
Speaker PHOEBE: Oh okay. Umm, all right.  Hi, this is Phoebe from Empire Office Supplies, can I speak to your supply manager please? 
Speaker PERSON: ",I'm the supply manager.
"Speaker MONICA: Yeah, I talked to you on the phone, I'm the lady that got stuck with the racecar bed. 
Speaker PERSON: Look, it's like I told you, there's nothing I can do. You signed for it, Monica Velula Geller. 
Speaker JOEY: All right, Jester man, look we wanna see the king. 
Speaker PERSON: ",Nobody sees the king!
"Speaker DOROTHY: Morning everybody, Rose honey I hope you don't mind, I borrowed your golf club, I have a date to play this morning. 
Speaker BLANCHE: With a man? 
Speaker DOROTHY: ","No Blanche, with a venus fly trap"
"Speaker PERSON: Hi Joey. 
Speaker JOEY: Hey! How you doin'? 
Speaker PERSON: He has the most amazing Porsche under there! 
Speaker JOEY: ","I'd love to show ya, but I just tucked her in."
"Speaker PENNY: So, Bernadette, how goes the hunt for bridesmaid dresses? 
Speaker BERNADETTE: ","Well, if you don't mind looking like an orange traffic cone, great."
"Speaker JOEY: What are you doing? 
Speaker CHANDLER: Key is stuck in the lock. 
Speaker JOEY: I could fix it hold on hold on, watch out watch out. 
Speaker CHANDLER: It still doesn't work! 
Speaker JOEY: I am not finished. 
Speaker CHANDLER: ","Nice jon Joe, you are quite the craftsman!"
